"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"781","% of income","","uncovered","of income","src/components/dashboard/DashboardOverview.tsx:1459"
"782","% off","","uncovered","off","src/components/pos/PosInvoicingModule.tsx:623"
"783","% parts ·","","uncovered","parts","src/components/dashboard/TechnicianDetailModal.tsx:76; src/components/dashboard/TechnicianLeaderboardView.tsx:173"
"784","% vs prev period","","uncovered","vs prev period","src/components/dashboard/DashboardOverview.tsx:1632; src/components/dashboard/DashboardOverview.tsx:1638"
"785","• Key:","","uncovered","Key","src/components/prices/PriceSettingsModal.tsx:695"
"786","• Tel:","","uncovered","Tel","src/components/portal/CustomerFacingWebPortal.tsx:1152"
"787","≥ 30 days post-repair","","uncovered","days post repair","src/components/followup/CompletedDeviceFollowUpModule.tsx:296"
"788","≥ 60 days post-repair","","uncovered","days post repair","src/components/followup/CompletedDeviceFollowUpModule.tsx:302"
"789","≥ 7 days post-repair","","uncovered","days post repair","src/components/followup/CompletedDeviceFollowUpModule.tsx:290"
"790","⚠ Board Short Circuit Logged","","uncovered","Board Short Circuit Logged","src/components/microsoldering/MicroSolderingModule.tsx:137"
"791","⚡ Tech Circuit Chip","","uncovered","Tech Circuit Chip","src/components/settings/SystemManagementSettingsModule.tsx:1355"
"792","✓ Payment Processed via","","uncovered","Payment Processed via","src/components/common/PrintableInvoiceModal.tsx:397"
"793","💳 Credit Card / POS Terminal","","uncovered","Credit Card POS Terminal","src/components/finance/ShopFinancePlModule.tsx:530"
"794","💵 Cash In Drawer (Physical Cash)","","uncovered","Cash In Drawer Physical","src/components/finance/ShopFinancePlModule.tsx:508"
"795","📱 KBZPay / WavePay / Mobile Banking","","uncovered","KBZPay WavePay Mobile Banking","src/components/finance/ShopFinancePlModule.tsx:519"
"796","🛡️ Cyber Lab Shield","","uncovered","Cyber Lab Shield","src/components/settings/SystemManagementSettingsModule.tsx:1365"
"797","1-Month Check","","uncovered","Month Check","src/components/followup/CompletedDeviceFollowUpModule.tsx:294"
"798","1. Before Intake","","uncovered","Before Intake","src/components/common/DeviceTagPrinterModal.tsx:383"
"799","1. Before Repair Intake","","uncovered","Before Repair Intake","src/components/common/DeviceTagPrinterModal.tsx:415"
"800","180 Days (Half-Year Warranty)","","uncovered","Days Half Year Warranty","src/components/settings/SystemManagementSettingsModule.tsx:2025"
"801","2-Month Check","","uncovered","Month Check","src/components/followup/CompletedDeviceFollowUpModule.tsx:300"
"802","2. After QA Pass","","uncovered","After QA Pass","src/components/common/DeviceTagPrinterModal.tsx:384"
"803","2. After Repair QA Pass","","uncovered","After Repair QA Pass","src/components/common/DeviceTagPrinterModal.tsx:431"
"804","21-Point Diagnostic Inspection","","uncovered","Point Diagnostic Inspection","src/components/portal/CustomerFacingWebPortal.tsx:576"
"805","21-Point Diagnostic Layout","","uncovered","Point Diagnostic Layout","src/components/settings/SystemManagementSettingsModule.tsx:2956"
"806","21-Point Hardware Diagnostic Comparison","","uncovered","Point Hardware Diagnostic Comparison","src/components/common/TicketDetailInspectorModal.tsx:331; src/components/intake/IntakeWorkOrderModule.tsx:797; src/components/pipeline/StatusPipelineView.tsx:916"
"807","21-Point Post-Repair Hardware Inspection","","uncovered","Point Post Repair Hardware Inspection","src/components/qa/QualityAssuranceModule.tsx:374"
"808","21-Point Repair Diagnostic List","","uncovered","Point Repair Diagnostic List","src/components/intake/CreateTicketSoloPage.tsx:1088"
"809","21-Point Verified","","uncovered","Point Verified","src/components/portal/CustomerFacingWebPortal.tsx:518"
"810","2a","","uncovered","a","src/components/intake/CreateTicketSoloPage.tsx:795; src/components/intake/CreateTicketSoloPage.tsx:816"
"811","2b","","uncovered","b","src/components/intake/CreateTicketSoloPage.tsx:837"
"812","3. In Repair","","uncovered","In Repair","src/components/portal/CustomerFacingWebPortal.tsx:500"
"813","3""x2"" Sticker Tag","","uncovered","x Sticker Tag","src/components/common/DeviceTagPrinterModal.tsx:867"
"814","30 Days","","uncovered","Days","src/components/common/DateFilterSelector.tsx:242"
"815","30 Days (Standard Modular)","","uncovered","Days Standard Modular","src/components/settings/SystemManagementSettingsModule.tsx:2022"
"816","365 Days (1 Full Year)","","uncovered","Days Full Year","src/components/settings/SystemManagementSettingsModule.tsx:2026"
"817","4. QA Passed","","uncovered","QA Passed","src/components/portal/CustomerFacingWebPortal.tsx:514"
"818","5. Complete","","uncovered","Complete","src/components/portal/CustomerFacingWebPortal.tsx:528"
"819","60 Days (Extended)","","uncovered","Days Extended","src/components/settings/SystemManagementSettingsModule.tsx:2023"
"820","7 Days","","uncovered","Days","src/components/common/DateFilterSelector.tsx:230"
"821","7-Day Check","","uncovered","Day Check","src/components/followup/CompletedDeviceFollowUpModule.tsx:288"
"822","90 Days (Recommended Apple Lab Standard)","","uncovered","Days Recommended Apple Lab Standard","src/components/settings/SystemManagementSettingsModule.tsx:2024"
"823","90-Day Standard Window","","uncovered","Day Standard Window","src/components/dashboard/DashboardOverview.tsx:1006"
"824","A4 & 3""x2"" Tag Ready","","uncovered","A x Tag Ready","src/components/settings/SystemManagementSettingsModule.tsx:2638"
"825","A4 Job Voucher","","uncovered","A Job Voucher","src/components/common/DeviceTagPrinterModal.tsx:856"
"826","Access to intake ticketing, pipeline, inventory, POS invoicing, CRM customers, and QA. Excludes system settings. Cannot delete anything.","","uncovered","Access to intake ticketing pipeline inventory POS invoicing CRM customers and QA Excludes system settings Cannot delete anything","src/components/settings/SystemManagementSettingsModule.tsx:1109"
"827","Account Tier","","uncovered","Account Tier","src/components/crm/CustomerRepairHistoryModal.tsx:168"
"828","Account:","","uncovered","Account","src/components/common/PrintableInvoiceModal.tsx:289; src/components/pipeline/StatusPipelineView.tsx:817"
"829","accounts","","uncovered","accounts","src/components/crm/CrmCustomerPortalModule.tsx:178"
"830","Across","","uncovered","Across","src/components/dashboard/TechnicianPerformanceTab.tsx:142"
"831","Action","","uncovered","Action","src/components/finance/ShopFinancePlModule.tsx:904; src/components/finance/ShopFinancePlModule.tsx:1203; src/components/suppliers/SupplierRmaModule.tsx:250"
"832","Action Manager","","uncovered","Action Manager","src/components/settings/SystemManagementSettingsModule.tsx:3336"
"833","active","","uncovered","active","src/components/ai/AiDiagnosticAssistantModal.tsx:477; src/components/dashboard/TechnicianLeaderboardView.tsx:198"
"834","Active","","uncovered","Active","src/components/dashboard/DashboardOverview.tsx:839; src/components/settings/SystemManagementSettingsModule.tsx:1715; src/components/settings/SystemManagementSettingsModule.tsx:1737; src/components/settings/SystemManagementSettingsModule.tsx:3447"
"835","Active & Protected","","uncovered","Active Protected","src/components/dashboard/DashboardOverview.tsx:1775"
"836","active folders &","","uncovered","active folders","src/components/prices/PriceSettingsModal.tsx:1241"
"837","Active Jobs","","uncovered","Active Jobs","src/components/pipeline/StatusPipelineView.tsx:1109; src/components/settings/SystemManagementSettingsModule.tsx:1962"
"838","Active Queue","","uncovered","Active Queue","src/components/dashboard/TechnicianDetailModal.tsx:96; src/components/dashboard/TechnicianLeaderboardView.tsx:105"
"839","Active Queue Capacity","","uncovered","Active Queue Capacity","src/components/dashboard/TechnicianPerformanceTab.tsx:135"
"840","Active Queue Load:","","uncovered","Active Queue Load","src/components/dashboard/TechnicianPerformanceTab.tsx:194"
"841","Active Services)","","uncovered","Active Services","src/components/prices/PriceSettingsModal.tsx:613"
"842","Active Standard","","uncovered","Active Standard","src/components/settings/SystemManagementSettingsModule.tsx:2739"
"843","Active Theme","","uncovered","Active Theme","src/components/settings/SystemManagementSettingsModule.tsx:1621"
"844","active tickets","","uncovered","active tickets","src/components/dashboard/TechnicianPerformanceTab.tsx:196"
"845","Active Tickets (","","uncovered","Active Tickets","src/components/dashboard/TechnicianDetailModal.tsx:176"
"846","Actual (e.g. 0.002V)","","uncovered","Actual e g V","src/components/microsoldering/MicroSolderingModule.tsx:205"
"847","Actual Diode","","uncovered","Actual Diode","src/components/microsoldering/MicroSolderingModule.tsx:223"
"848","Admin","","uncovered","Admin","src/components/settings/SystemManagementSettingsModule.tsx:3654"
"849","After Diag","","uncovered","After Diag","src/components/pipeline/StatusPipelineView.tsx:721"
"850","After QA","","uncovered","After QA","src/components/common/TicketDetailInspectorModal.tsx:339; src/components/intake/IntakeWorkOrderModule.tsx:806"
"851","After QA Pass Only","","uncovered","After QA Pass Only","src/components/settings/SystemManagementSettingsModule.tsx:2965"
"852","After QA:","","uncovered","After QA","src/components/common/DeviceTagPrinterModal.tsx:367"
"853","AI provider settings","","uncovered","AI provider settings","src/components/ai/AiDiagnosticAssistantModal.tsx:469; src/components/ai/AiDiagnosticAssistantModal.tsx:469"
"854","alex@applerepairpro.com","","uncovered","alex applerepairpro com","src/components/settings/SystemManagementSettingsModule.tsx:3402"
"855","Align Barcode or QR Code within Frame","","uncovered","Align Barcode or QR Code within Frame","src/components/common/CameraQrScannerModal.tsx:343"
"856","Anthropic Claude","","uncovered","Anthropic Claude","src/components/settings/SystemManagementSettingsModule.tsx:926"
"857","API Key","","uncovered","API Key","src/components/settings/SystemManagementSettingsModule.tsx:987"
"858","Appears in top sidebar brand header, repair tickets, and customer documents.","","uncovered","Appears in top sidebar brand header repair tickets and customer documents","src/components/settings/SystemManagementSettingsModule.tsx:1314"
"859","Apple Serial & IMEI Telemetry","","uncovered","Apple Serial IMEI Telemetry","src/components/devices/DevicesManagementModule.tsx:248"
"860","Apple Watch","","uncovered","Apple Watch","src/components/devices/DevicesManagementModule.tsx:690"
"861","Application Visual Theme & Typography","","uncovered","Application Visual Theme Typography","src/components/settings/SystemManagementSettingsModule.tsx:1592"
"862","Approve","","uncovered","Approve","src/components/finance/ShopFinancePlModule.tsx:852"
"863","Approve Credit","","uncovered","Approve Credit","src/components/suppliers/SupplierRmaModule.tsx:296"
"864","Approve only when the list below looks right.","","uncovered","Approve only when the list below looks right","src/components/inventory/InventoryManagementModule.tsx:2504"
"865","Approved online on","","uncovered","Approved online on","src/components/portal/CustomerFacingWebPortal.tsx:828"
"866","Archived on","","uncovered","Archived on","src/components/common/RecycleBinModal.tsx:181"
"867","archived repair tickets","","uncovered","archived repair tickets","src/components/common/RecycleBinModal.tsx:216"
"868","are nearing the end of their 90-day warranty period (","","uncovered","are nearing the end of their day warranty period","src/components/dashboard/DashboardOverview.tsx:1010"
"869","Are you sure you want to remove this technician from the system roster? Active tickets assigned to them will remain in the pipeline.","","uncovered","Are you sure want to remove this technician from the system roster Active tickets assigned them will remain in pipeline","src/components/settings/SystemManagementSettingsModule.tsx:3526"
"870","Ask a business question…","","uncovered","Ask a business question","src/components/ai/AiDiagnosticAssistantModal.tsx:531"
"871","Asset Valuation:","","uncovered","Asset Valuation","src/components/finance/ShopFinancePlModule.tsx:752"
"872","Assign","","uncovered","Assign","src/components/pipeline/StatusPipelineView.tsx:646"
"873","Assigned Active Tickets","","uncovered","Assigned Active Tickets","src/components/dashboard/TechnicianPerformanceTab.tsx:266"
"874","Assistant Instructions","","uncovered","Assistant Instructions","src/components/settings/SystemManagementSettingsModule.tsx:1041"
"875","at","","uncovered","at","src/components/common/WorkOrderStatusTimeline.tsx:645; src/components/crm/CustomerRepairTimeline.tsx:307"
"876","Authorized Signature","","uncovered","Authorized Signature","src/components/common/PrintableInvoiceModal.tsx:470"
"877","Auto-Fill","","uncovered","Auto Fill","src/components/pos/PosInvoicingModule.tsx:935"
"878","Auto-fill remaining amount","","uncovered","Auto fill remaining amount","src/components/pos/PosInvoicingModule.tsx:933"
"879","Auto-generate","","uncovered","Auto generate","src/components/inventory/InventoryManagementModule.tsx:1664; src/components/inventory/InventoryManagementModule.tsx:1686"
"880","Automatically increment reserved part quantities when added to active work orders.","","uncovered","Automatically increment reserved part quantities when added to active work orders","src/components/settings/SystemManagementSettingsModule.tsx:2617"
"881","Available Repair Services for","","uncovered","Available Repair Services for","src/components/prices/QuickPriceCalculatorModal.tsx:385"
"882","Average Repair Duration","","uncovered","Average Repair Duration","src/components/dashboard/TechnicianPerformanceTab.tsx:115"
"883","Average Ticket Value (ATV)","","uncovered","Average Ticket Value ATV","src/components/dashboard/DashboardOverview.tsx:1698"
"884","Average ticket value and margin metrics","","uncovered","Average ticket value and margin metrics","src/components/dashboard/DashboardOverview.tsx:1672"
"885","Average Ticket Value:","","uncovered","Average Ticket Value","src/components/crm/CustomerRepairHistoryModal.tsx:214"
"886","Avg Duration","","uncovered","Avg Duration","src/components/dashboard/TechnicianPerformanceTab.tsx:215"
"887","Avg Rating","","uncovered","Avg Rating","src/components/followup/CompletedDeviceFollowUpModule.tsx:312"
"888","Avg RMA Turnaround (Days)","","uncovered","Avg RMA Turnaround Days","src/components/inventory/InventoryManagementModule.tsx:2274; src/components/inventory/InventoryManagementModule.tsx:2412"
"889","Avg Turnaround","","uncovered","Avg Turnaround","src/components/dashboard/DashboardOverview.tsx:787; src/components/dashboard/TechnicianDetailModal.tsx:112; src/components/dashboard/TechnicianLeaderboardView.tsx:103"
"890","Avg:","","uncovered","Avg","src/components/dashboard/DashboardOverview.tsx:768"
"891","Awaiting Approval","","uncovered","Awaiting Approval","src/components/portal/CustomerFacingWebPortal.tsx:384"
"892","Awaiting customer","","uncovered","Awaiting customer","src/components/dashboard/DashboardOverview.tsx:734"
"893","Awaiting supplier credits","","uncovered","Awaiting supplier credits","src/components/dashboard/DashboardOverview.tsx:1526"
"894","Bank merchant card settlement transfers","","uncovered","Bank merchant card settlement transfers","src/components/finance/ShopFinancePlModule.tsx:531"
"895","Base:","","uncovered","Base","src/components/intake/CreateTicketSoloPage.tsx:980"
"896","Based on completion timestamps","","uncovered","Based on completion timestamps","src/components/dashboard/TechnicianPerformanceTab.tsx:124"
"897","Baseline","","uncovered","Baseline","src/components/dashboard/TechnicianDetailModal.tsx:108; src/components/dashboard/TechnicianLeaderboardView.tsx:100; src/components/dashboard/TechnicianPerformanceTab.tsx:210"
"898","baseline/mo","","uncovered","baseline mo","src/components/dashboard/TechnicianPerformanceTab.tsx:142"
"899","Batch adjust service prices across device folders or specific categories by percentage (e.g. +10%) or flat amount (e.g. +10,000","","uncovered","Batch adjust service prices across device folders or specific categories by percentage e g flat amount","src/components/prices/PriceSettingsModal.tsx:1064"
"900","Battery swelling / rapid discharge / non-charging","","uncovered","Battery swelling rapid discharge non charging","src/components/inventory/InventoryManagementModule.tsx:2185"
"901","Before & After Dual Cards","","uncovered","Before After Dual Cards","src/components/settings/SystemManagementSettingsModule.tsx:2963"
"902","Before intake","","uncovered","Before intake","src/components/common/TicketDetailInspectorModal.tsx:335; src/components/intake/IntakeWorkOrderModule.tsx:802"
"903","Before Repair Only","","uncovered","Before Repair Only","src/components/settings/SystemManagementSettingsModule.tsx:2964"
"904","Before vs After Table","","uncovered","Before vs After Table","src/components/settings/SystemManagementSettingsModule.tsx:2962"
"905","Before:","","uncovered","Before","src/components/common/DeviceTagPrinterModal.tsx:363"
"906","Below reorder threshold","","uncovered","Below reorder threshold","src/components/dashboard/DashboardOverview.tsx:1520"
"907","Bench Service","","uncovered","Bench Service","src/components/portal/CustomerFacingWebPortal.tsx:503"
"908","Bin","","uncovered","Bin","src/components/inventory/InventoryManagementModule.tsx:1161; src/components/inventory/InventoryManagementModule.tsx:1340; src/components/inventory/InventoryManagementModule.tsx:1345"
"909","Bin:","","uncovered","Bin","src/components/inventory/InventoryManagementModule.tsx:1886; src/components/inventory/InventoryManagementModule.tsx:2972"
"910","bins","","uncovered","bins","src/components/settings/SystemManagementSettingsModule.tsx:2520"
"911","Blue","","uncovered","Blue","src/components/settings/SystemManagementSettingsModule.tsx:1639"
"912","Bottleneck (&gt;48h)","","uncovered","Bottleneck gt h","src/components/pipeline/StatusPipelineView.tsx:612"
"913","Bottlenecks (&gt;48h)","","uncovered","Bottlenecks gt h","src/App.tsx:1396"
"914","buckets · completed tickets only","","uncovered","buckets completed tickets only","src/components/dashboard/DashboardOverview.tsx:1626"
"915","Catalog contains","","uncovered","Catalog contains","src/components/prices/PriceSettingsModal.tsx:1241"
"916","Catalog Verified","","uncovered","Catalog Verified","src/components/intake/CreateTicketSoloPage.tsx:1551"
"917","categories","","uncovered","categories","src/components/inventory/InventoryManagementModule.tsx:1445; src/components/settings/SystemManagementSettingsModule.tsx:2397"
"918","Categories","","uncovered","Categories","src/components/inventory/InventoryManagementModule.tsx:1058"
"919","categories)","","uncovered","categories","src/components/prices/PriceSettingsModal.tsx:1089"
"920","Champion:","","uncovered","Champion","src/components/dashboard/TechnicianLeaderboardView.tsx:212"
"921","change","","uncovered","change","src/components/inventory/InventoryManagementModule.tsx:2535"
"922","characters","","uncovered","characters","src/components/common/CustomerNotificationModal.tsx:213; src/components/settings/SystemManagementSettingsModule.tsx:3242"
"923","Checked in at shop","","uncovered","Checked in at shop","src/components/portal/CustomerFacingWebPortal.tsx:474"
"924","Checker: ______________________","","uncovered","Checker","src/components/inventory/InventoryManagementModule.tsx:2709"
"925","Chips / Micro-Components Replaced (Comma-separated)","","uncovered","Chips Micro Components Replaced Comma separated","src/components/microsoldering/MicroSolderingModule.tsx:264"
"926","Classic soft 12px-24px rounded corners and pill buttons for a smooth, relaxed interface appearance.","","uncovered","Classic soft px rounded corners and pill buttons for a smooth relaxed interface appearance","src/components/settings/SystemManagementSettingsModule.tsx:1741"
"927","Classify accounts (Retail, B2B, Wholesale) and simulate customer tracking portal","","uncovered","Classify accounts Retail B Wholesale and simulate customer tracking portal","src/components/crm/CrmCustomerPortalModule.tsx:143"
"928","Click a card to toggle its tag for selected printing","","uncovered","Click a card to toggle its tag for selected printing","src/components/inventory/InventoryManagementModule.tsx:2922"
"929","Click any standard Apple repair tag sample to simulate scanning:","","uncovered","Click any standard Apple repair tag sample to simulate scanning","src/components/common/CameraQrScannerModal.tsx:400"
"930","Click any technician card for the full drill-down (tickets, earnings, commission).","","uncovered","Click any technician card for the full drill down tickets earnings commission","src/components/dashboard/TechnicianPerformanceTab.tsx:329"
"931","Click dates to pick range","","uncovered","Click dates to pick range","src/components/common/DateFilterSelector.tsx:366"
"932","Click service cards on the left to add to estimate","","uncovered","Click service cards on the left to add estimate","src/components/prices/QuickPriceCalculatorModal.tsx:485"
"933","Click to apply","","uncovered","Click to apply","src/components/settings/SystemManagementSettingsModule.tsx:1624"
"934","Click to view full repair history modal","","uncovered","Click to view full repair history modal","src/components/crm/CrmCustomerPortalModule.tsx:212; src/components/crm/CrmCustomerPortalModule.tsx:352"
"935","Click variable buttons to insert tags into text","","uncovered","Click variable buttons to insert tags into text","src/components/settings/SystemManagementSettingsModule.tsx:3136"
"936","Code","","uncovered","Code","src/components/settings/SystemManagementSettingsModule.tsx:2462"
"937","Color","","uncovered","Color","src/components/devices/DevicesManagementModule.tsx:568; src/components/devices/DevicesManagementModule.tsx:735"
"938","Color & Lock","","uncovered","Color Lock","src/components/devices/DevicesManagementModule.tsx:409"
"939","Color:","","uncovered","Color","src/components/common/DeviceTagPrinterModal.tsx:298; src/components/common/DeviceTagPrinterModal.tsx:917; src/components/crm/CustomerRepairTimeline.tsx:326"
"940","Commission","","uncovered","Commission","src/components/dashboard/TechnicianLeaderboardView.tsx:102; src/components/settings/SystemManagementSettingsModule.tsx:1970"
"941","Commission + Bonus","","uncovered","Commission Bonus","src/components/finance/ShopFinancePlModule.tsx:828"
"942","Commission Rates","","uncovered","Commission Rates","src/components/settings/SystemManagementSettingsModule.tsx:3467"
"943","Compact label sticker format with QR code and barcode for physical hardware tagging.","","uncovered","Compact label sticker format with QR code and barcode for physical hardware tagging","src/components/settings/SystemManagementSettingsModule.tsx:2770"
"944","Compact Single A4 Page","","uncovered","Compact Single A Page","src/components/settings/SystemManagementSettingsModule.tsx:2940"
"945","Company","","uncovered","Company","src/components/crm/CustomerRepairHistoryModal.tsx:159"
"946","Complete Diagnostic First","","uncovered","Complete Diagnostic First","src/components/pipeline/StatusPipelineView.tsx:1461"
"947","Complete Intake Diagnostic First","","uncovered","Complete Intake Diagnostic First","src/components/pipeline/StatusPipelineView.tsx:1369"
"948","Complete Lifetime Repair Dossier & Service Records","","uncovered","Complete Lifetime Repair Dossier Service Records","src/components/crm/CustomerRepairHistoryModal.tsx:123"
"949","Complete Service History (","","uncovered","Complete Service History","src/components/devices/DevicesManagementModule.tsx:593"
"950","completed","","uncovered","completed","src/components/dashboard/TechnicianLeaderboardView.tsx:148"
"951","Completed","","uncovered","Completed","src/components/crm/CustomerRepairHistoryModal.tsx:185; src/components/dashboard/DashboardOverview.tsx:730; src/components/dashboard/TechnicianDetailModal.tsx:105; src/components/portal/CustomerFacingWebPortal.tsx:532"
"952","completed · no baseline set","","uncovered","completed no baseline set","src/components/dashboard/TechnicianPerformanceTab.tsx:259"
"953","Completed (Period)","","uncovered","Completed Period","src/components/dashboard/TechnicianLeaderboardView.tsx:99"
"954","Completed repairs","","uncovered","Completed repairs","src/components/dashboard/DashboardOverview.tsx:166"
"955","Completed This Period","","uncovered","Completed This Period","src/components/dashboard/TechnicianPerformanceTab.tsx:100"
"956","Completed This Period (","","uncovered","Completed This Period","src/components/dashboard/TechnicianDetailModal.tsx:210"
"957","completed tickets","","uncovered","completed tickets","src/components/dashboard/DashboardOverview.tsx:806"
"958","Completed:","","uncovered","Completed","src/components/followup/CompletedDeviceFollowUpModule.tsx:451"
"959","Component Geometry & Design System Architecture","","uncovered","Component Geometry Design System Architecture","src/components/settings/SystemManagementSettingsModule.tsx:1693"
"960","Component:","","uncovered","Component","src/components/inventory/InventoryManagementModule.tsx:2121"
"961","Conduct post-service quality calls for repaired & delivered devices to ensure satisfaction and manage warranty queries.","","uncovered","Conduct post service quality calls for repaired delivered devices to ensure satisfaction and manage warranty queries","src/components/followup/CompletedDeviceFollowUpModule.tsx:259"
"962","Configure enabled payment methods across your store (Cash, KBZ Pay, UAB Pay, AYA Pay, MMQR, CB Bank, Yoma Bank, Wave Money, etc.). Disabled payment options will be hidden automatically during POS checkout, Work Order intake, and invoicing.","","uncovered","Configure enabled payment methods across your store Cash KBZ Pay UAB AYA MMQR CB Bank Yoma Wave Money etc Disabled options will be hidden automatically during POS checkout Work Order intake and invoicing","src/components/settings/SystemManagementSettingsModule.tsx:2158"
"963","Configure official A4 workshop job sheets, customer invoices, and 3""×2"" device intake sticker tags for your repair shop.","","uncovered","Configure official A workshop job sheets customer invoices and device intake sticker tags for your repair shop","src/components/settings/SystemManagementSettingsModule.tsx:2642"
"964","Configure Payment Gateways →","","uncovered","Configure Payment Gateways","src/components/settings/SystemManagementSettingsModule.tsx:2142"
"965","Configure shop-wide currency symbols, tax rules, and default labor discounts.","","uncovered","Configure shop wide currency symbols tax rules and default labor discounts","src/components/settings/SystemManagementSettingsModule.tsx:2068"
"966","Configured Message Templates (","","uncovered","Configured Message Templates","src/components/settings/SystemManagementSettingsModule.tsx:3133"
"967","Consumed","","uncovered","Consumed","src/components/finance/ShopFinancePlModule.tsx:1201"
"968","Contact","","uncovered","Contact","src/components/intake/IntakeWorkOrderModule.tsx:716"
"969","Covered Period:","","uncovered","Covered Period","src/components/portal/CustomerFacingWebPortal.tsx:716"
"970","Crisp 0px sharp rectangular borders for high-density engineering, maximum screen utilization, and modern structural architecture across all ERP modules.","","uncovered","Crisp px sharp rectangular borders for high density engineering maximum screen utilization and modern structural architecture across all ERP modules","src/components/settings/SystemManagementSettingsModule.tsx:1719"
"971","Critical &le;7d (","","uncovered","Critical le d","src/components/dashboard/DashboardOverview.tsx:1828"
"972","Critical Window (&le;7d)","","uncovered","Critical Window le d","src/components/dashboard/DashboardOverview.tsx:1763"
"973","critical within 7 days).","","uncovered","critical within days","src/components/dashboard/DashboardOverview.tsx:1010"
"974","Critical:","","uncovered","Critical","src/components/dashboard/DashboardOverview.tsx:1970"
"975","Current:","","uncovered","Current","src/components/common/UserRoleSwitcher.tsx:107"
"976","Curved Soft Geometry","","uncovered","Curved Soft Geometry","src/components/settings/SystemManagementSettingsModule.tsx:1734"
"977","Cust:","","uncovered","Cust","src/components/common/DeviceTagPrinterModal.tsx:912; src/components/microsoldering/MicroSolderingModule.tsx:133; src/components/pos/PosInvoicingModule.tsx:492; src/components/qa/QualityAssuranceModule.tsx:314"
"978","Custom Base URL","","uncovered","Custom Base URL","src/components/settings/SystemManagementSettingsModule.tsx:1001"
"979","Custom Days (e.g. 60)","","uncovered","Custom Days e g","src/components/intake/CreateTicketSoloPage.tsx:1427"
"980","Custom symbol e.g. RM, SGD, AUD","","uncovered","Custom symbol e g RM SGD AUD","src/components/prices/PriceSettingsModal.tsx:1219"
"981","Customize ticket number formatting, default warranty terms, and mandatory customer intake flags.","","uncovered","Customize ticket number formatting default warranty terms and mandatory customer intake flags","src/components/settings/SystemManagementSettingsModule.tsx:1990"
"982","d ago)","","uncovered","d ago","src/components/dashboard/DashboardOverview.tsx:1981"
"983","d left","","uncovered","d left","src/components/dashboard/DashboardOverview.tsx:1039"
"984","d Left","","uncovered","d Left","src/components/dashboard/DashboardOverview.tsx:1970; src/components/dashboard/DashboardOverview.tsx:1976"
"985","d Left)","","uncovered","d Left","src/components/dashboard/DashboardOverview.tsx:1987"
"986","d)","","uncovered","d","src/components/followup/CompletedDeviceFollowUpModule.tsx:424; src/components/followup/CompletedDeviceFollowUpModule.tsx:428; src/components/followup/CompletedDeviceFollowUpModule.tsx:432"
"987","Daily Cash Drawer & Bank Reconciliation","","uncovered","Daily Cash Drawer Bank Reconciliation","src/components/finance/ShopFinancePlModule.tsx:501"
"988","Data source: work orders in the selected dashboard period","","uncovered","Data source work orders in the selected dashboard period","src/components/dashboard/TechnicianDetailModal.tsx:263"
"989","days","","uncovered","days","src/components/dashboard/DashboardOverview.tsx:1948; src/components/settings/SystemManagementSettingsModule.tsx:2484"
"990","Days","","uncovered","Days","src/components/common/DeviceTagPrinterModal.tsx:333; src/components/followup/CompletedDeviceFollowUpModule.tsx:459; src/components/followup/CompletedDeviceFollowUpModule.tsx:652; src/components/intake/CreateTicketSoloPage.tsx:1420; src/components/suppliers/SupplierRmaModule.tsx:407"
"991","Days Guarantee","","uncovered","Days Guarantee","src/components/portal/CustomerFacingWebPortal.tsx:718; src/components/portal/CustomerFacingWebPortal.tsx:965"
"992","Days Protection","","uncovered","Days Protection","src/components/crm/CustomerRepairTimeline.tsx:407"
"993","Days Warranty","","uncovered","Days Warranty","src/components/common/PrintableInvoiceModal.tsx:306"
"994","Declined","","uncovered","Declined","src/components/crm/CustomerRepairTimeline.tsx:210"
"995","Deep Purple","","uncovered","Deep Purple","src/components/devices/DevicesManagementModule.tsx:738"
"996","DeepSeek","","uncovered","DeepSeek","src/components/settings/SystemManagementSettingsModule.tsx:928"
"997","DeepSeek API Key","","uncovered","DeepSeek API Key","src/components/settings/SystemManagementSettingsModule.tsx:980"
"998","Default A4 Sheet Layout","","uncovered","Default A Sheet Layout","src/components/settings/SystemManagementSettingsModule.tsx:2933"
"999","Default Preferred Dispatch Channel","","uncovered","Default Preferred Dispatch Channel","src/components/settings/SystemManagementSettingsModule.tsx:3055"
"1000","Default Service Warranty Coverage (Days)","","uncovered","Default Service Warranty Coverage Days","src/components/settings/SystemManagementSettingsModule.tsx:2015"
"1001","Defect / Warranty Reason *","","uncovered","Defect Warranty Reason","src/components/inventory/InventoryManagementModule.tsx:2177"
"1002","Defective Return Merchandise Authorizations (RMA)","","uncovered","Defective Return Merchandise Authorizations RMA","src/components/suppliers/SupplierRmaModule.tsx:226"
"1003","Defective Returns","","uncovered","Defective Returns","src/components/dashboard/DashboardOverview.tsx:1525"
"1004","Detail","","uncovered","Detail","src/components/intake/IntakeWorkOrderModule.tsx:435; src/components/inventory/InventoryManagementModule.tsx:1162; src/components/inventory/InventoryManagementModule.tsx:1409; src/components/pipeline/StatusPipelineView.tsx:658"
"1005","device models across","","uncovered","device models across","src/components/prices/PriceSettingsModal.tsx:1241"
